new_id,split,crop_name,source_image_id,source_transition,scale_factor,crop_width,crop_height,refined_width,refined_height,texture_a,texture_b,image_name,label_a_name,label_b_name,valid_fraction,overlap_fraction,void_fraction
11,training,training_ADE_train_00001017_t1_crop0,training_ADE_train_00001017,training_ADE_train_00001017_t1,2,206,104,412,208,smooth gray concrete with faint surface lines,dark brown earth with loose soil texture,11.png,11.png,11.png,1.0,0.0,0.0
12,training,training_ADE_train_00001271_t1_crop0,training_ADE_train_00001271,training_ADE_train_00001271_t1,1,399,406,399,406,wavy textured brown wood panels,dirt path with scattered dry leaves,12.png,12.png,12.png,0.9760670148277096,0.0006296529501092633,0.023303332222181068
13,training,training_ADE_train_00001271_t2_crop0,training_ADE_train_00001271,training_ADE_train_00001271_t2,1,390,398,390,398,dirt path with scattered dry leaves,weathered gray wood with green moss streaks,13.png,13.png,13.png,0.9900270583687669,0.0003221234377013272,0.009650818193531762
14,training,training_ADE_train_00003048_t0_crop0,training_ADE_train_00003048,training_ADE_train_00003048_t0,2,132,120,264,240,dark green foliage with dense leaves,calm rippling water with greenish hue,14.png,14.png,14.png,1.0,0.0,0.0
15,training,training_ADE_train_00003048_t0_crop1,training_ADE_train_00003048,training_ADE_train_00003048_t0,2,93,256,186,512,dark green foliage with dense leaves,calm rippling water with greenish hue,15.png,15.png,15.png,1.0,0.0,0.0
16,training,training_ADE_train_00003048_t0_crop2,training_ADE_train_00003048,training_ADE_train_00003048_t0,1,687,200,687,200,dark green foliage with dense leaves,calm rippling water with greenish hue,16.png,16.png,16.png,1.0,0.0,0.0
17,training,training_ADE_train_00003048_t0_crop3,training_ADE_train_00003048,training_ADE_train_00003048_t0,2,126,256,252,512,dark green foliage with dense leaves,calm rippling water with greenish hue,17.png,17.png,17.png,1.0,0.0,0.0
18,training,training_ADE_train_00003079_t0_crop0,training_ADE_train_00003079,training_ADE_train_00003079_t0,2,145,64,290,128,wet sandy beach with gentle ripples,dark wet sand with bird footprints,18.png,18.png,18.png,1.0,0.0,0.0
19,training,training_ADE_train_00003084_t0_crop0,training_ADE_train_00003084,training_ADE_train_00003084_t0,2,256,176,512,352,wet sandy beach with fine granular texture,foamy ocean water with white crested waves,19.png,19.png,19.png,1.0,0.0,0.0
20,training,training_ADE_train_00003090_t1_crop0,training_ADE_train_00003090,training_ADE_train_00003090_t1,2,243,104,486,208,dense green grass with scattered shadows,smooth wet sandy ground with ripples,20.png,20.png,20.png,1.0,0.0,0.0
21,training,training_ADE_train_00003100_t2_crop0,training_ADE_train_00003100,training_ADE_train_00003100_t2,2,256,150,512,300,clear turquoise water with shallow depth,smooth wet sandy ground with ripples,21.png,21.png,21.png,1.0,0.0,0.0
22,training,training_ADE_train_00003103_t1_crop0,training_ADE_train_00003103,training_ADE_train_00003103_t1,2,198,80,396,160,wet sandy beach with scattered footprints,dark wet sand with small puddle reflections,22.png,22.png,22.png,1.0,0.0,0.0
23,training,training_ADE_train_00003105_t0_crop0,training_ADE_train_00003105,training_ADE_train_00003105_t0,1,379,217,379,217,smooth wet sandy ground with ripples,calm turquoise water with white foam edge,23.png,23.png,23.png,0.9939690915944214,0.0007538635506973238,0.005277044854881266
24,training,training_ADE_train_00003105_t0_crop1,training_ADE_train_00003105,training_ADE_train_00003105_t0,2,256,108,512,216,smooth wet sandy ground with ripples,calm turquoise water with white foam edge,24.png,24.png,24.png,1.0,0.0,0.0
25,training,training_ADE_train_00003105_t1_crop0,training_ADE_train_00003105,training_ADE_train_00003105_t1,1,237,480,237,480,calm turquoise water with white foam edge,dense green vegetation with palm fronds,25.png,25.png,25.png,1.0,0.0,0.0
26,training,training_ADE_train_00003119_t1_crop0,training_ADE_train_00003119,training_ADE_train_00003119_t1,2,153,148,306,296,smooth wet sandy ground with ripples,calm blue ocean water with distant horizon,26.png,26.png,26.png,1.0,0.0,0.0
27,training,training_ADE_train_00003132_t0_crop0,training_ADE_train_00003132,training_ADE_train_00003132_t0,2,105,202,210,404,rough dark rocks with jagged edges,smooth wet sandy beach with gentle slope,27.png,27.png,27.png,1.0,0.0,0.0
28,training,training_ADE_train_00003132_t0_crop1,training_ADE_train_00003132,training_ADE_train_00003132_t0,2,71,256,142,512,rough dark rocks with jagged edges,smooth wet sandy beach with gentle slope,28.png,28.png,28.png,1.0,0.0,0.0
29,training,training_ADE_train_00003133_t0_crop0,training_ADE_train_00003133,training_ADE_train_00003133_t0,2,104,64,208,128,dense green mangrove foliage with broad leaves,clear shallow water with visible sandy bottom,29.png,29.png,29.png,1.0,0.0,0.0
30,training,training_ADE_train_00003133_t2_crop0,training_ADE_train_00003133,training_ADE_train_00003133_t2,2,82,120,164,240,clear shallow water with visible sandy bottom,distant tree-covered landmass with dense canopy,30.png,30.png,30.png,1.0,0.0,0.0
31,training,training_ADE_train_00003135_t0_crop0,training_ADE_train_00003135,training_ADE_train_00003135_t0,2,191,130,382,260,smooth wet sandy ground with ripples,dense green grass with scattered shadows,31.png,31.png,31.png,1.0,0.0,0.0
32,training,training_ADE_train_00004349_t0_crop0,training_ADE_train_00004349,training_ADE_train_00004349_t0,2,256,96,512,192,dense green grass with scattered shadows,rough weathered stone with visible cracks,32.png,32.png,32.png,1.0,0.0,0.0
33,training,training_ADE_train_00004422_t0_crop0,training_ADE_train_00004422,training_ADE_train_00004422_t0,2,92,256,184,512,dense green grass with scattered shadows,gravel path with small stones and dust,33.png,33.png,33.png,1.0,0.0,0.0
34,training,training_ADE_train_00004422_t1_crop0,training_ADE_train_00004422,training_ADE_train_00004422_t1,2,192,184,384,368,gravel path with small stones and dust,dark reddish-brown shrubbery with dense foliage,34.png,34.png,34.png,1.0,0.0,0.0
35,training,training_ADE_train_00004422_t2_crop0,training_ADE_train_00004422,training_ADE_train_00004422_t2,1,248,218,248,218,dark reddish-brown shrubbery with dense foliage,bright yellow flowering plants with clustered blooms,35.png,35.png,35.png,0.9621559633027523,0.0,0.03784403669724771
36,training,training_ADE_train_00004424_t0_crop0,training_ADE_train_00004424,training_ADE_train_00004424_t0,2,81,256,162,512,dense green grass with scattered shadows,bright yellow flowers with layered petals,36.png,36.png,36.png,1.0,0.0,0.0
37,training,training_ADE_train_00004424_t0_crop1,training_ADE_train_00004424,training_ADE_train_00004424_t0,1,414,508,414,508,dense green grass with scattered shadows,bright yellow flowers with layered petals,37.png,37.png,37.png,1.0,0.0,0.0
38,training,training_ADE_train_00004424_t1_crop0,training_ADE_train_00004424,training_ADE_train_00004424_t1,2,256,190,512,380,dense green grass with scattered shadows,dark green coniferous foliage with needle texture,38.png,38.png,38.png,1.0,0.0,0.0
39,training,training_ADE_train_00004424_t1_crop1,training_ADE_train_00004424,training_ADE_train_00004424_t1,2,256,104,512,208,dense green grass with scattered shadows,dark green coniferous foliage with needle texture,39.png,39.png,39.png,1.0,0.0,0.0
40,training,training_ADE_train_00004424_t2_crop0,training_ADE_train_00004424,training_ADE_train_00004424_t2,1,446,442,446,442,bright yellow flowers with layered petals,dark green coniferous foliage with needle texture,40.png,40.png,40.png,0.9927611955441025,0.0036219385995170748,0.0036168658563804964
41,training,training_ADE_train_00004427_t0_crop0,training_ADE_train_00004427,training_ADE_train_00004427_t0,2,75,103,150,206,dense green grass with scattered shadows,white blossoms on dark tree branches,41.png,41.png,41.png,1.0,0.0,0.0
42,training,training_ADE_train_00004427_t0_crop1,training_ADE_train_00004427,training_ADE_train_00004427_t0,2,165,132,330,264,dense green grass with scattered shadows,white blossoms on dark tree branches,42.png,42.png,42.png,1.0,0.0,0.0
43,training,training_ADE_train_00004427_t0_crop2,training_ADE_train_00004427,training_ADE_train_00004427_t0,2,256,151,512,302,dense green grass with scattered shadows,white blossoms on dark tree branches,43.png,43.png,43.png,1.0,0.0,0.0
44,training,training_ADE_train_00004427_t1_crop0,training_ADE_train_00004427,training_ADE_train_00004427_t1,2,194,256,388,512,white blossoms on dark tree branches,clear blue sky with no clouds,44.png,44.png,44.png,1.0,0.0,0.0
45,training,training_ADE_train_00004427_t1_crop1,training_ADE_train_00004427,training_ADE_train_00004427_t1,2,256,115,512,230,white blossoms on dark tree branches,clear blue sky with no clouds,45.png,45.png,45.png,1.0,0.0,0.0
46,training,training_ADE_train_00004918_t0_crop0,training_ADE_train_00004918,training_ADE_train_00004918_t0,2,145,64,290,128,vertical striated sandstone with layered bands,green shrubbery with sparse foliage,46.png,46.png,46.png,1.0,0.0,0.0
47,training,training_ADE_train_00004918_t0_crop1,training_ADE_train_00004918,training_ADE_train_00004918_t0,1,300,210,300,210,vertical striated sandstone with layered bands,green shrubbery with sparse foliage,47.png,47.png,47.png,0.9816031746031746,0.0002380952380952381,0.01815873015873016
48,training,training_ADE_train_00004918_t1_crop0,training_ADE_train_00004918,training_ADE_train_00004918_t1,2,210,184,420,368,vertical striated sandstone with layered bands,reddish-brown soil with sparse vegetation,48.png,48.png,48.png,1.0,0.0,0.0
49,training,training_ADE_train_00004918_t2_crop0,training_ADE_train_00004918,training_ADE_train_00004918_t2,2,179,102,358,204,reddish-brown soil with sparse vegetation,green shrubbery with sparse foliage,49.png,49.png,49.png,1.0,0.0,0.0
50,training,training_ADE_train_00005003_t0_crop0,training_ADE_train_00005003,training_ADE_train_00005003_t0,2,213,133,426,266,wet muddy bank with sparse vegetation,calm murky water with tree reflections,50.png,50.png,50.png,1.0,0.0,0.0
51,training,training_ADE_train_00005004_t1_crop0,training_ADE_train_00005004,training_ADE_train_00005004_t1,2,199,216,398,432,dense green grass with scattered shadows,white blossoming trees with dense clusters,51.png,51.png,51.png,1.0,0.0,0.0
52,training,training_ADE_train_00005004_t2_crop0,training_ADE_train_00005004,training_ADE_train_00005004_t2,2,129,64,258,128,white blossoming trees with dense clusters,distant rolling hills with sparse vegetation,52.png,52.png,52.png,1.0,0.0,0.0
53,training,training_ADE_train_00005009_t0_crop0,training_ADE_train_00005009,training_ADE_train_00005009_t0,2,168,98,336,196,dark gray stone wall with vertical seams,green grass with scattered shadows,53.png,53.png,53.png,1.0,0.0,0.0
54,training,training_ADE_train_00005009_t2_crop0,training_ADE_train_00005009,training_ADE_train_00005009_t2,2,165,138,330,276,dark gray stone wall with vertical seams,smooth dark water surface with ripples,54.png,54.png,54.png,1.0,0.0,0.0
55,training,training_ADE_train_00005048_t0_crop0,training_ADE_train_00005048,training_ADE_train_00005048_t0,2,100,64,200,128,smooth wet sandy ground with ripples,rough weathered stone with visible cracks,55.png,55.png,55.png,1.0,0.0,0.0
56,training,training_ADE_train_00005048_t0_crop1,training_ADE_train_00005048,training_ADE_train_00005048_t0,2,103,166,206,332,smooth wet sandy ground with ripples,rough weathered stone with visible cracks,56.png,56.png,56.png,1.0,0.0,0.0
57,training,training_ADE_train_00005054_t0_crop0,training_ADE_train_00005054,training_ADE_train_00005054_t0,1,256,202,256,202,rough layered sandstone with vertical striations,dense green shrubbery with varied leaf shapes,57.png,57.png,57.png,0.9900990099009901,0.0,0.009900990099009901
58,training,training_ADE_train_00005241_t0_crop0,training_ADE_train_00005241,training_ADE_train_00005241_t0,2,101,64,202,128,smooth beige cardboard with sharp edges,dense green grass with scattered shadows,58.png,58.png,58.png,1.0,0.0,0.0
59,training,training_ADE_train_00005241_t0_crop1,training_ADE_train_00005241,training_ADE_train_00005241_t0,1,226,422,226,422,smooth beige cardboard with sharp edges,dense green grass with scattered shadows,59.png,59.png,59.png,0.9564127836262215,8.388206182107957e-05,0.04350333431195739
60,training,training_ADE_train_00005346_t1_crop0,training_ADE_train_00005346,training_ADE_train_00005346_t1,2,167,90,334,180,dense green shrubbery with needle-like leaves,dry yellow-brown grass with sparse blades,60.png,60.png,60.png,1.0,0.0,0.0
61,training,training_ADE_train_00005835_t1_crop0,training_ADE_train_00005835,training_ADE_train_00005835_t1,2,133,135,266,270,rough weathered stone with visible cracks,dense green vegetation with leafy canopy,61.png,61.png,61.png,1.0,0.0,0.0
62,training,training_ADE_train_00005871_t0_crop0,training_ADE_train_00005871,training_ADE_train_00005871_t0,2,178,134,356,268,dark wet volcanic rock with jagged edges,calm dark water with gentle ripples,62.png,62.png,62.png,1.0,0.0,0.0
63,training,training_ADE_train_00005884_t0_crop0,training_ADE_train_00005884,training_ADE_train_00005884_t0,2,168,105,336,210,dense green grass with scattered shadows,gravel path with fine sandy particles,63.png,63.png,63.png,1.0,0.0,0.0
64,training,training_ADE_train_00006233_t1_crop0,training_ADE_train_00006233,training_ADE_train_00006233_t1,1,304,252,304,252,dense green corn stalks with broad leaves,dry brown grass with scattered blades,64.png,64.png,64.png,0.9792058270676691,0.0,0.020794172932330827
65,training,training_ADE_train_00006233_t1_crop1,training_ADE_train_00006233,training_ADE_train_00006233_t1,1,247,371,247,371,dense green corn stalks with broad leaves,dry brown grass with scattered blades,65.png,65.png,65.png,0.9779783275314556,0.0,0.022021672468544366
66,training,training_ADE_train_00006236_t0_crop0,training_ADE_train_00006236,training_ADE_train_00006236_t0,2,256,138,512,276,dense green grass with scattered shadows,smooth wet sandy ground with ripples,66.png,66.png,66.png,1.0,0.0,0.0
67,training,training_ADE_train_00006237_t0_crop0,training_ADE_train_00006237,training_ADE_train_00006237_t0,2,120,84,240,168,dense green grass with scattered shadows,rough weathered stone with visible cracks,67.png,67.png,67.png,1.0,0.0,0.0
68,training,training_ADE_train_00006249_t0_crop0,training_ADE_train_00006249,training_ADE_train_00006249_t0,1,240,270,240,270,dense green grass with scattered shadows,smooth wet sandy ground with ripples,68.png,68.png,68.png,0.9630401234567901,0.0,0.036959876543209876
69,training,training_ADE_train_00006249_t0_crop1,training_ADE_train_00006249,training_ADE_train_00006249_t0,2,159,64,318,128,dense green grass with scattered shadows,smooth wet sandy ground with ripples,69.png,69.png,69.png,1.0,0.0,0.0
70,training,training_ADE_train_00006249_t2_crop0,training_ADE_train_00006249,training_ADE_train_00006249_t2,2,256,83,512,166,rough weathered stone with visible cracks,smooth wet sandy ground with ripples,70.png,70.png,70.png,1.0,0.0,0.0
71,training,training_ADE_train_00006377_t3_crop0,training_ADE_train_00006377,training_ADE_train_00006377_t3,2,134,64,268,128,dense green grass with scattered shadows,dense green foliage with varied leaf shapes,71.png,71.png,71.png,1.0,0.0,0.0
72,training,training_ADE_train_00006377_t3_crop1,training_ADE_train_00006377,training_ADE_train_00006377_t3,2,105,172,210,344,dense green grass with scattered shadows,dense green foliage with varied leaf shapes,72.png,72.png,72.png,1.0,0.0,0.0
73,training,training_ADE_train_00006377_t3_crop2,training_ADE_train_00006377,training_ADE_train_00006377_t3,1,503,271,503,271,dense green grass with scattered shadows,dense green foliage with varied leaf shapes,73.png,73.png,73.png,0.9593949219810289,0.00039614710262410774,0.04020893091634694
74,training,training_ADE_train_00006377_t3_crop3,training_ADE_train_00006377,training_ADE_train_00006377_t3,2,70,144,140,288,dense green grass with scattered shadows,dense green foliage with varied leaf shapes,74.png,74.png,74.png,1.0,0.0,0.0
75,training,training_ADE_train_00006468_t0_crop0,training_ADE_train_00006468,training_ADE_train_00006468_t0,2,200,131,400,262,rough dark wet rocks with mossy patches,smooth flowing water with white frothy rapids,75.png,75.png,75.png,1.0,0.0,0.0
76,training,training_ADE_train_00006480_t0_crop0,training_ADE_train_00006480,training_ADE_train_00006480_t0,1,212,316,212,316,muddy brown water with swirling sediment,wet dark gray rock with mossy patches,76.png,76.png,76.png,1.0,0.0,0.0
77,training,training_ADE_train_00006481_t0_crop0,training_ADE_train_00006481,training_ADE_train_00006481_t0,2,100,104,200,208,dark wet rocks with mossy patches,bright green ferns with serrated edges,77.png,77.png,77.png,1.0,0.0,0.0
78,training,training_ADE_train_00006484_t0_crop0,training_ADE_train_00006484,training_ADE_train_00006484_t0,2,143,64,286,128,wet mossy rock with dark green patches,foamy rushing water with white spray,78.png,78.png,78.png,1.0,0.0,0.0
79,training,training_ADE_train_00006484_t0_crop1,training_ADE_train_00006484,training_ADE_train_00006484_t0,2,130,256,260,512,wet mossy rock with dark green patches,foamy rushing water with white spray,79.png,79.png,79.png,1.0,0.0,0.0
80,training,training_ADE_train_00006484_t1_crop0,training_ADE_train_00006484,training_ADE_train_00006484_t1,2,214,70,428,140,wet mossy rock with dark green patches,damp brown leaf litter with decaying organic matter,80.png,80.png,80.png,1.0,0.0,0.0
81,training,training_ADE_train_00006485_t1_crop0,training_ADE_train_00006485,training_ADE_train_00006485_t1,1,212,212,212,212,dense green foliage with layered leaves,rough mossy rock with dark wet patches,81.png,81.png,81.png,0.9850035599857601,0.0020692417230331077,0.012927198291206836
82,training,training_ADE_train_00006485_t2_crop0,training_ADE_train_00006485,training_ADE_train_00006485_t2,2,255,93,510,186,dense green foliage with layered leaves,smooth flowing water with white froth,82.png,82.png,82.png,1.0,0.0,0.0
83,training,training_ADE_train_00006492_t0_crop0,training_ADE_train_00006492,training_ADE_train_00006492_t0,1,300,315,300,315,wet mossy rocks with dark green patches,fallen orange leaves on steep slope,83.png,83.png,83.png,0.9749735449735449,0.0009841269841269842,0.024042328042328042
84,training,training_ADE_train_00006492_t1_crop0,training_ADE_train_00006492,training_ADE_train_00006492_t1,2,256,184,512,368,wet mossy rocks with dark green patches,flowing clear water over stones,84.png,84.png,84.png,1.0,0.0,0.0
85,training,training_ADE_train_00006495_t2_crop0,training_ADE_train_00006495,training_ADE_train_00006495_t2,2,64,108,128,216,dark wet volcanic rock with moss patches,smooth flowing water with ripples,85.png,85.png,85.png,1.0,0.0,0.0
86,training,training_ADE_train_00006497_t2_crop0,training_ADE_train_00006497,training_ADE_train_00006497_t2,2,186,64,372,128,dry light brown sandy substrate with pebbles,darker gray stone with rough texture,86.png,86.png,86.png,1.0,0.0,0.0
87,training,training_ADE_train_00006497_t2_crop1,training_ADE_train_00006497,training_ADE_train_00006497_t2,2,130,64,260,128,dry light brown sandy substrate with pebbles,darker gray stone with rough texture,87.png,87.png,87.png,1.0,0.0,0.0
88,training,training_ADE_train_00006499_t0_crop0,training_ADE_train_00006499,training_ADE_train_00006499_t0,2,256,148,512,296,large mossy rock with lichen patches,wet dark streambed with smooth stones,88.png,88.png,88.png,1.0,0.0,0.0
89,training,training_ADE_train_00006500_t0_crop0,training_ADE_train_00006500,training_ADE_train_00006500_t0,2,64,132,128,264,wet mossy rock with dark green patches,smooth flowing water with white froth,89.png,89.png,89.png,1.0,0.0,0.0
90,training,training_ADE_train_00006500_t0_crop1,training_ADE_train_00006500,training_ADE_train_00006500_t0,2,64,256,128,512,wet mossy rock with dark green patches,smooth flowing water with white froth,90.png,90.png,90.png,1.0,0.0,0.0
91,training,training_ADE_train_00006500_t0_crop2,training_ADE_train_00006500,training_ADE_train_00006500_t0,2,256,144,512,288,wet mossy rock with dark green patches,smooth flowing water with white froth,91.png,91.png,91.png,1.0,0.0,0.0
92,training,training_ADE_train_00006503_t0_crop0,training_ADE_train_00006503,training_ADE_train_00006503_t0,2,173,124,346,248,rough dark wet rocks with mossy patches,foamy white rushing water with turbulent flow,92.png,92.png,92.png,1.0,0.0,0.0
93,training,training_ADE_train_00006505_t0_crop0,training_ADE_train_00006505,training_ADE_train_00006505_t0,2,68,104,136,208,wet mossy rock with green patches,flowing water with silky motion blur,93.png,93.png,93.png,1.0,0.0,0.0
94,training,training_ADE_train_00006505_t0_crop1,training_ADE_train_00006505,training_ADE_train_00006505_t0,1,373,520,373,520,wet mossy rock with green patches,flowing water with silky motion blur,94.png,94.png,94.png,1.0,0.0,0.0
95,training,training_ADE_train_00006687_t0_crop0,training_ADE_train_00006687,training_ADE_train_00006687_t0,2,256,104,512,208,wet sandy ground with fine ripples,dry sandy dune with wind-sculpted ridges,95.png,95.png,95.png,1.0,0.0,0.0
96,training,training_ADE_train_00006698_t0_crop0,training_ADE_train_00006698,training_ADE_train_00006698_t0,2,242,152,484,304,dry sandy ground with fine granular particles,sparse desert shrubs with spiky leaves,96.png,96.png,96.png,1.0,0.0,0.0
97,training,training_ADE_train_00006710_t0_crop0,training_ADE_train_00006710,training_ADE_train_00006710_t0,2,153,215,306,430,asphalt road surface with cracked texture,dry grassy terrain with scattered vegetation,97.png,97.png,97.png,1.0,0.0,0.0
98,training,training_ADE_train_00006710_t1_crop0,training_ADE_train_00006710,training_ADE_train_00006710_t1,2,128,104,256,208,asphalt road surface with cracked texture,distant rock formations with layered strata,98.png,98.png,98.png,1.0,0.0,0.0
99,training,training_ADE_train_00007260_t1_crop0,training_ADE_train_00007260,training_ADE_train_00007260_t1,2,94,172,188,344,smooth reddish-brown dirt road with tire tracks,weathered gray-brown tree bark with rough texture,99.png,99.png,99.png,1.0,0.0,0.0
100,training,training_ADE_train_00007290_t0_crop0,training_ADE_train_00007290,training_ADE_train_00007290_t0,2,96,177,192,354,rough weathered stone with visible cracks,dense green grass with scattered shadows,100.png,100.png,100.png,1.0,0.0,0.0
101,training,training_ADE_train_00007293_t0_crop0,training_ADE_train_00007293,training_ADE_train_00007293_t0,2,256,87,512,174,rough weathered stone with visible cracks,dense green grass with scattered shadows,101.png,101.png,101.png,1.0,0.0,0.0
102,training,training_ADE_train_00007295_t1_crop0,training_ADE_train_00007295,training_ADE_train_00007295_t1,2,148,114,296,228,dense green grass with scattered shadows,smooth pale stone with mossy patches,102.png,102.png,102.png,1.0,0.0,0.0
103,training,training_ADE_train_00007296_t2_crop0,training_ADE_train_00007296,training_ADE_train_00007296_t2,2,137,97,274,194,rough dark gray rock face with vertical fissures,grassy slope with scattered low shrubs,103.png,103.png,103.png,1.0,0.0,0.0
104,training,training_ADE_train_00007298_t0_crop0,training_ADE_train_00007298,training_ADE_train_00007298_t0,2,184,88,368,176,rough gray stone with mossy patches,green grass with scattered shadows,104.png,104.png,104.png,1.0,0.0,0.0
105,training,training_ADE_train_00007299_t0_crop0,training_ADE_train_00007299,training_ADE_train_00007299_t0,1,512,302,512,302,dense green grass with scattered shadows,rough weathered stone with visible cracks,105.png,105.png,105.png,0.9622568294701986,0.0011511796357615894,0.036591990894039736
106,training,training_ADE_train_00007300_t0_crop0,training_ADE_train_00007300,training_ADE_train_00007300_t0,2,125,64,250,128,dense green grass with scattered yellow flowers,rough gray stone with mossy patches,106.png,106.png,106.png,1.0,0.0,0.0
107,training,training_ADE_train_00007300_t0_crop1,training_ADE_train_00007300,training_ADE_train_00007300_t0,1,766,512,766,512,dense green grass with scattered yellow flowers,rough gray stone with mossy patches,107.png,107.png,107.png,1.0,0.0,0.0
108,training,training_ADE_train_00007300_t1_crop0,training_ADE_train_00007300,training_ADE_train_00007300_t1,2,167,246,334,492,rough gray stone with mossy patches,pale gray boulder with lichen spots,108.png,108.png,108.png,1.0,0.0,0.0
109,training,training_ADE_train_00007300_t1_crop1,training_ADE_train_00007300,training_ADE_train_00007300_t1,1,583,258,583,258,rough gray stone with mossy patches,pale gray boulder with lichen spots,109.png,109.png,109.png,0.6157737976518143,0.3807491323945909,0.003477069953594745
110,training,training_ADE_train_00007462_t0_crop0,training_ADE_train_00007462,training_ADE_train_00007462_t0,2,151,64,302,128,dense green grass with scattered shadows,dark gray gravel with tire track impressions,110.png,110.png,110.png,1.0,0.0,0.0
111,training,training_ADE_train_00007462_t0_crop1,training_ADE_train_00007462,training_ADE_train_00007462_t0,2,129,64,258,128,dense green grass with scattered shadows,dark gray gravel with tire track impressions,111.png,111.png,111.png,1.0,0.0,0.0
112,training,training_ADE_train_00007462_t0_crop2,training_ADE_train_00007462,training_ADE_train_00007462_t0,2,148,94,296,188,dense green grass with scattered shadows,dark gray gravel with tire track impressions,112.png,112.png,112.png,1.0,0.0,0.0
113,training,training_ADE_train_00007466_t0_crop0,training_ADE_train_00007466,training_ADE_train_00007466_t0,2,64,217,128,434,dense green grass with scattered shadows,smooth gray asphalt with fine grain texture,113.png,113.png,113.png,1.0,0.0,0.0
114,training,training_ADE_train_00007466_t1_crop0,training_ADE_train_00007466,training_ADE_train_00007466_t1,1,639,407,639,407,smooth gray asphalt with fine grain texture,dry brown gravel with scattered leaves,114.png,114.png,114.png,0.7277302911105727,0.012431125107181445,0.2598385837822458
115,training,training_ADE_train_00007640_t0_crop0,training_ADE_train_00007640,training_ADE_train_00007640_t0,2,83,138,166,276,dense green foliage with varied leaf shapes,rough vertical cliff face with layered rock strata,115.png,115.png,115.png,1.0,0.0,0.0
116,training,training_ADE_train_00007640_t2_crop0,training_ADE_train_00007640,training_ADE_train_00007640_t2,2,241,128,482,256,smooth grayish riverbed with scattered pebbles,dense green foliage with varied leaf shapes,116.png,116.png,116.png,1.0,0.0,0.0
117,training,training_ADE_train_00007645_t0_crop0,training_ADE_train_00007645,training_ADE_train_00007645_t0,2,162,64,324,128,dry grassy field with sparse vegetation,wet reflective river surface,117.png,117.png,117.png,1.0,0.0,0.0
118,training,training_ADE_train_00007645_t0_crop1,training_ADE_train_00007645,training_ADE_train_00007645_t0,2,176,64,352,128,dry grassy field with sparse vegetation,wet reflective river surface,118.png,118.png,118.png,1.0,0.0,0.0
119,training,training_ADE_train_00007645_t0_crop2,training_ADE_train_00007645,training_ADE_train_00007645_t0,2,256,144,512,288,dry grassy field with sparse vegetation,wet reflective river surface,119.png,119.png,119.png,1.0,0.0,0.0
